ts,server_id,mem_pct
20:53:00,server_1,46.41
20:53:00,server_20,74.1
20:53:00,server_19,41.54
20:53:00,server_18,12.62
20:53:00,server_17,99.49
20:53:00,server_16,72.56
20:53:00,server_14,89.85
20:53:00,server_13,96.57
20:53:00,server_12,13.49
20:53:00,server_11,92.09
20:53:00,server_15,41.68
20:53:00,server_9,79.71
20:53:00,server_8,65.08
20:53:00,server_7,39.27
20:53:00,server_6,32.44
20:53:00,server_5,57.12
20:53:00,server_4,21.5
20:53:00,server_3,24.44
20:53:00,server_2,27.98
20:53:00,server_10,0.57
20:53:05,server_13,29.22
20:53:05,server_14,80.05
20:53:05,server_15,62.12
20:53:05,server_16,58.38
20:53:05,server_20,24.97
20:53:05,server_18,67.27
20:53:05,server_19,36.06
20:53:05,server_12,42.37
20:53:05,server_17,63.31
20:53:05,server_11,41.9
20:53:05,server_5,87.0
20:53:05,server_9,47.0
20:53:05,server_10,82.45
20:53:05,server_2,26.14
20:53:05,server_3,70.2
20:53:05,server_4,27.3
20:53:05,server_1,6.89
20:53:05,server_6,94.68
20:53:05,server_7,65.29
20:53:05,server_8,77.46
20:53:10,server_20,62.75
20:53:10,server_19,80.52
20:53:10,server_18,9.74
20:53:10,server_17,90.43
20:53:10,server_16,87.35
20:53:10,server_14,46.4
20:53:10,server_13,21.58
20:53:10,server_12,56.08
20:53:10,server_11,84.38
20:53:10,server_15,54.34
20:53:10,server_9,26.86
20:53:10,server_2,23.79
20:53:10,server_3,90.81
20:53:10,server_4,13.77
20:53:10,server_5,46.97
20:53:10,server_1,18.57
20:53:10,server_6,31.38
20:53:10,server_7,36.12
20:53:10,server_8,67.75
20:53:10,server_10,43.93
20:53:15,server_12,30.85
20:53:15,server_19,35.0
20:53:15,server_18,55.1
20:53:15,server_17,24.95
20:53:15,server_16,56.9
20:53:15,server_15,69.13
20:53:15,server_14,27.0
20:53:15,server_13,97.67
20:53:15,server_11,70.55
20:53:15,server_20,29.9
20:53:15,server_9,49.43
20:53:15,server_1,22.87
20:53:15,server_2,64.88
20:53:15,server_3,84.12
20:53:15,server_4,91.1
20:53:15,server_10,83.21
20:53:15,server_6,21.48
20:53:15,server_7,51.89
20:53:15,server_8,37.23
20:53:15,server_5,51.05
20:53:20,server_11,15.36
20:53:20,server_19,22.47
20:53:20,server_18,57.46
20:53:20,server_17,78.0
20:53:20,server_16,20.11
20:53:20,server_15,30.69
20:53:20,server_14,18.91
20:53:20,server_13,28.67
20:53:20,server_12,67.13
20:53:20,server_20,49.06
20:53:20,server_10,51.26
20:53:20,server_8,91.55
20:53:20,server_7,81.52
20:53:20,server_6,63.1
20:53:20,server_5,64.4
20:53:20,server_4,79.01
20:53:20,server_3,43.06
20:53:20,server_2,58.76
20:53:20,server_1,41.37
20:53:20,server_9,28.89
20:53:25,server_13,97.68
20:53:25,server_14,4.11
20:53:25,server_16,65.33
20:53:25,server_12,48.41
20:53:25,server_18,40.44
20:53:25,server_19,58.08
20:53:25,server_20,91.35
20:53:25,server_17,63.52
20:53:25,server_11,57.83
20:53:25,server_15,98.17
20:53:25,server_9,27.95
20:53:25,server_1,49.64
20:53:25,server_2,29.31
20:53:25,server_3,25.11
20:53:25,server_4,55.58
20:53:25,server_10,19.82
20:53:25,server_6,54.38
20:53:25,server_7,49.88
20:53:25,server_8,29.79
20:53:25,server_5,45.12
20:53:30,server_20,33.36
20:53:30,server_19,81.32
20:53:30,server_18,52.91
20:53:30,server_17,92.02
20:53:30,server_16,45.6
20:53:30,server_15,48.13
20:53:30,server_14,35.02
20:53:30,server_12,88.49
20:53:30,server_11,87.31
20:53:30,server_13,40.61
20:53:30,server_9,55.51
20:53:30,server_8,21.83
20:53:30,server_7,57.05
20:53:30,server_6,60.36
20:53:30,server_5,93.01
20:53:30,server_4,37.34
20:53:30,server_3,73.73
20:53:30,server_2,57.12
20:53:30,server_10,7.34
20:53:30,server_1,99.61
20:53:35,server_13,83.12
20:53:35,server_14,87.18
20:53:35,server_15,26.13
20:53:35,server_16,80.98
20:53:35,server_20,58.02
20:53:35,server_18,47.71
20:53:35,server_19,3.0
20:53:35,server_12,81.79
20:53:35,server_17,33.67
20:53:35,server_11,90.69
20:53:35,server_3,62.47
20:53:35,server_9,49.06
20:53:35,server_8,5.94
20:53:35,server_7,92.53
20:53:35,server_6,51.32
20:53:35,server_5,36.35
20:53:35,server_4,56.46
20:53:35,server_2,40.64
20:53:35,server_1,55.77
20:53:35,server_10,55.96
20:53:40,server_12,44.92
20:53:40,server_13,17.81
20:53:40,server_14,42.02
20:53:40,server_15,95.57
20:53:40,server_19,58.29
20:53:40,server_17,39.8
20:53:40,server_18,48.32
20:53:40,server_11,33.06
20:53:40,server_16,21.78
20:53:40,server_20,34.87
20:53:40,server_10,28.83
20:53:40,server_8,97.3
20:53:40,server_1,92.37
20:53:40,server_2,47.92
20:53:40,server_3,22.35
20:53:40,server_9,37.31
20:53:40,server_5,19.7
20:53:40,server_6,47.27
20:53:40,server_7,64.94
20:53:40,server_4,83.79
20:53:45,server_13,24.72
20:53:45,server_20,37.63
20:53:45,server_19,96.79
20:53:45,server_18,83.2
20:53:45,server_17,15.59
20:53:45,server_16,39.3
20:53:45,server_15,68.08
20:53:45,server_14,33.47
20:53:45,server_12,29.97
20:53:45,server_11,50.53
20:53:45,server_1,54.29
20:53:45,server_9,29.68
20:53:45,server_8,35.28
