ts,server_id,cpu_pct
20:53:00,server_1,34.74
20:53:00,server_20,62.46
20:53:00,server_19,59.49
20:53:00,server_18,24.08
20:53:00,server_17,3.6
20:53:00,server_16,56.6
20:53:00,server_14,87.07
20:53:00,server_13,22.78
20:53:00,server_12,95.32
20:53:00,server_11,86.25
20:53:00,server_15,26.3
20:53:00,server_9,62.8
20:53:00,server_8,42.41
20:53:00,server_7,34.67
20:53:00,server_6,30.53
20:53:00,server_5,60.06
20:53:00,server_4,25.23
20:53:00,server_3,86.18
20:53:00,server_2,30.26
20:53:00,server_10,89.37
20:53:05,server_13,32.96
20:53:05,server_14,64.52
20:53:05,server_15,69.53
20:53:05,server_16,59.45
20:53:05,server_20,24.05
20:53:05,server_18,58.42
20:53:05,server_19,40.49
20:53:05,server_12,36.96
20:53:05,server_17,68.28
20:53:05,server_11,49.17
20:53:05,server_5,96.23
20:53:05,server_9,34.02
20:53:05,server_10,97.94
20:53:05,server_2,21.54
20:53:05,server_3,53.6
20:53:05,server_4,80.2
20:53:05,server_1,87.12
20:53:05,server_6,25.42
20:53:05,server_7,53.85
20:53:05,server_8,64.21
20:53:10,server_20,53.12
20:53:10,server_19,4.2
20:53:10,server_18,85.35
20:53:10,server_17,86.26
20:53:10,server_16,87.4
20:53:10,server_14,54.52
20:53:10,server_13,20.47
20:53:10,server_12,44.58
20:53:10,server_11,87.48
20:53:10,server_15,44.6
20:53:10,server_9,27.93
20:53:10,server_2,83.24
20:53:10,server_3,3.44
20:53:10,server_4,99.21
20:53:10,server_5,52.07
20:53:10,server_1,29.65
20:53:10,server_6,37.72
20:53:10,server_7,35.02
20:53:10,server_8,54.05
20:53:10,server_10,37.47
20:53:15,server_12,26.83
20:53:15,server_19,23.86
20:53:15,server_18,55.08
20:53:15,server_17,20.03
20:53:15,server_16,72.13
20:53:15,server_15,60.51
20:53:15,server_14,90.64
20:53:15,server_13,88.75
20:53:15,server_11,64.99
20:53:15,server_20,91.36
20:53:15,server_9,68.41
20:53:15,server_1,25.91
20:53:15,server_2,51.96
20:53:15,server_3,91.96
20:53:15,server_4,97.22
20:53:15,server_10,62.09
20:53:15,server_6,98.96
20:53:15,server_7,79.94
20:53:15,server_8,31.32
20:53:15,server_5,45.3
20:53:20,server_11,25.34
20:53:20,server_19,32.69
20:53:20,server_18,53.19
20:53:20,server_17,63.15
20:53:20,server_16,33.01
20:53:20,server_15,39.94
20:53:20,server_14,94.05
20:53:20,server_13,45.95
20:53:20,server_12,55.85
20:53:20,server_20,32.25
20:53:20,server_10,32.69
20:53:20,server_8,19.61
20:53:20,server_7,16.69
20:53:20,server_6,61.22
20:53:20,server_5,45.39
20:53:20,server_4,53.09
20:53:20,server_3,24.15
20:53:20,server_2,47.78
20:53:20,server_1,63.68
20:53:20,server_9,97.42
20:53:25,server_13,93.55
20:53:25,server_14,92.06
20:53:25,server_16,48.8
20:53:25,server_12,46.82
20:53:25,server_18,47.71
20:53:25,server_19,29.98
20:53:25,server_20,1.48
20:53:25,server_17,57.91
20:53:25,server_11,58.02
20:53:25,server_15,2.4
20:53:25,server_9,25.87
20:53:25,server_1,49.45
20:53:25,server_2,41.31
20:53:25,server_3,47.88
20:53:25,server_4,65.11
20:53:25,server_10,86.21
20:53:25,server_6,45.54
20:53:25,server_7,39.09
20:53:25,server_8,29.59
20:53:25,server_5,67.33
20:53:30,server_20,31.2
20:53:30,server_19,24.85
20:53:30,server_18,45.07
20:53:30,server_17,93.98
20:53:30,server_16,59.72
20:53:30,server_15,41.33
20:53:30,server_14,27.38
20:53:30,server_12,96.77
20:53:30,server_11,23.23
20:53:30,server_13,26.86
20:53:30,server_9,48.34
20:53:30,server_8,29.96
20:53:30,server_7,42.08
20:53:30,server_6,53.03
20:53:30,server_5,95.36
20:53:30,server_4,25.55
20:53:30,server_3,68.1
20:53:30,server_2,57.12
20:53:30,server_10,83.94
20:53:30,server_1,17.61
20:53:35,server_13,98.85
20:53:35,server_14,85.34
20:53:35,server_15,20.78
20:53:35,server_16,93.0
20:53:35,server_20,49.27
20:53:35,server_18,38.87
20:53:35,server_19,93.46
20:53:35,server_12,3.18
20:53:35,server_17,35.15
20:53:35,server_11,19.11
20:53:35,server_3,61.63
20:53:35,server_9,37.32
20:53:35,server_8,99.29
20:53:35,server_7,69.18
20:53:35,server_6,45.15
20:53:35,server_5,27.06
20:53:35,server_4,49.12
20:53:35,server_2,35.11
20:53:35,server_1,73.86
20:53:35,server_10,54.09
20:53:40,server_12,41.35
20:53:40,server_13,23.29
20:53:40,server_14,57.35
20:53:40,server_15,3.19
20:53:40,server_19,56.77
20:53:40,server_17,36.29
20:53:40,server_18,74.97
20:53:40,server_11,57.79
20:53:40,server_16,32.12
20:53:40,server_20,23.01
20:53:40,server_10,34.77
20:53:40,server_8,86.88
20:53:40,server_1,92.0
20:53:40,server_2,27.39
20:53:40,server_3,32.63
20:53:40,server_9,34.37
20:53:40,server_5,99.73
20:53:40,server_6,60.13
20:53:40,server_7,44.35
20:53:40,server_4,95.36
20:53:45,server_13,42.13
20:53:45,server_20,26.66
20:53:45,server_19,86.99
20:53:45,server_18,21.15
20:53:45,server_17,91.27
20:53:45,server_16,36.57
20:53:45,server_15,63.32
20:53:45,server_14,28.92
20:53:45,server_12,26.06
20:53:45,server_11,44.2
20:53:45,server_1,61.58
20:53:45,server_9,86.59
20:53:45,server_8,50.19
20:53:45,server_7,92.19
20:53:45,server_6,38.32
20:53:45,server_5,67.97
20:53:45,server_4,50.81
20:53:45,server_3,31.28
20:53:45,server_2,45.65
20:53:45,server_10,33.93
20:53:50,server_13,48.27
20:53:50,server_14,22.48
20:53:50,server_15,35.66
20:53:50,server_16,54.1
20:53:50,server_12,10.67
20:53:50,server_18,37.75
20:53:50,server_19,55.71
20:53:50,server_20,97.48
20:53:50,server_17,88.94
20:53:50,server_11,32.93
20:53:50,server_1,92.71
20:53:50,server_9,60.59
20:53:50,server_8,98.47
20:53:50,server_7,44.02
20:53:50,server_6,54.16
20:53:50,server_5,69.85
20:53:50,server_4,52.73
20:53:50,server_3,47.84
20:53:50,server_2,55.62
20:53:50,server_10,34.45
20:53:55,server_13,38.18
20:53:55,server_14,22.66
20:53:55,server_15,89.99
20:53:55,server_16,10.12
20:53:55,server_20,91.3
20:53:55,server_18,24.94
20:53:55,server_19,40.5
20:53:55,server_12,44.18
20:53:55,server_17,67.87
20:53:55,server_11,40.37
20:53:55,server_5,28.26
20:53:55,server_9,46.81
20:53:55,server_2,21.14
20:53:55,server_3,60.34
20:53:55,server_4,67.42
20:53:55,server_1,86.51
20:53:55,server_6,98.16
20:53:55,server_7,22.88
20:53:55,server_8,61.01
20:53:55,server_10,66.77
20:54:00,server_12,86.04
20:54:00,server_19,67.97
20:54:00,server_18,62.92
20:54:00,server_17,41.73
20:54:00,server_16,44.76
20:54:00,server_15,36.9
20:54:00,server_14,47.92
20:54:00,server_13,28.1
20:54:00,server_11,94.98
20:54:00,server_20,47.11
20:54:00,server_9,56.36
20:54:00,server_1,62.84
20:54:00,server_2,93.15
20:54:00,server_3,29.51
20:54:00,server_4,68.26
20:54:00,server_10,32.05
20:54:00,server_6,37.61
20:54:00,server_7,78.91
20:54:00,server_8,40.26
20:54:00,server_5,91.2
20:54:05,server_11,64.93
20:54:05,server_19,29.46
20:54:05,server_18,14.22
20:54:05,server_17,64.86
20:54:05,server_16,28.52
20:54:05,server_15,23.43
20:54:05,server_14,38.84
20:54:05,server_13,47.39
20:54:05,server_12,85.03
20:54:05,server_20,47.71
20:54:05,server_10,85.36
20:54:05,server_8,29.46
20:54:05,server_7,45.18
20:54:05,server_6,16.27
20:54:05,server_5,68.33
20:54:05,server_4,56.37
20:54:05,server_3,87.12
20:54:05,server_2,60.16
20:54:05,server_1,33.28
20:54:05,server_9,66.45
20:54:10,server_14,52.7
20:54:10,server_15,91.13
20:54:10,server_16,79.89
20:54:10,server_13,38.45
20:54:10,server_18,1.8
20:54:10,server_19,61.57
20:54:10,server_20,38.33
20:54:10,server_17,39.31
20:54:10,server_12,60.47
20:54:10,server_11,62.98
20:54:10,server_1,41.25
20:54:10,server_9,52.01
20:54:10,server_8,3.52
20:54:10,server_7,45.02
20:54:10,server_6,27.12
20:54:10,server_5,77.15
20:54:10,server_4,26.65
20:54:10,server_3,63.24
20:54:10,server_2,30.37
20:54:10,server_10,24.55
20:54:15,server_13,77.97
20:54:15,server_14,57.61
20:54:15,server_15,53.21
20:54:15,server_20,89.83
20:54:15,server_18,61.53
20:54:15,server_19,46.72
20:54:15,server_12,25.05
20:54:15,server_16,86.51
20:54:15,server_11,46.18
20:54:15,server_17,51.54
20:54:15,server_9,20.6
20:54:15,server_10,67.52
20:54:15,server_2,38.59
20:54:15,server_3,23.94
20:54:15,server_4,52.09
20:54:15,server_1,85.24
20:54:15,server_6,43.04
20:54:15,server_7,48.67
20:54:15,server_8,39.79
20:54:15,server_5,40.38
20:54:20,server_20,21.83
20:54:20,server_12,91.07
20:54:20,server_19,29.67
20:54:20,server_18,39.65
20:54:20,server_17,34.02
20:54:20,server_16,31.77
20:54:20,server_15,43.87
20:54:20,server_14,28.14
20:54:20,server_13,59.88
20:54:20,server_11,90.17
20:54:20,server_7,92.71
20:54:20,server_9,24.22
20:54:20,server_8,76.25
20:54:20,server_6,23.35
20:54:20,server_5,70.82
20:54:20,server_4,62.32
20:54:20,server_3,49.52
20:54:20,server_2,22.11
20:54:20,server_1,21.27
20:54:20,server_10,30.0
20:54:25,server_15,35.02
20:54:25,server_13,59.59
20:54:25,server_14,52.78
20:54:25,server_16,35.82
20:54:25,server_12,42.44
20:54:25,server_18,57.16
20:54:25,server_19,37.92
20:54:25,server_20,45.3
20:54:25,server_17,25.54
20:54:25,server_11,21.53
20:54:25,server_1,57.42
20:54:25,server_9,23.89
20:54:25,server_2,33.02
20:54:25,server_3,18.74
20:54:25,server_4,36.51
20:54:25,server_10,24.25
20:54:25,server_6,81.96
20:54:25,server_7,41.58
20:54:25,server_8,31.87
20:54:25,server_5,31.63
20:54:30,server_13,99.34
20:54:30,server_20,23.7
20:54:30,server_19,48.94
20:54:30,server_18,23.66
20:54:30,server_17,28.59
20:54:30,server_16,87.17
20:54:30,server_15,25.2
20:54:30,server_14,16.76
20:54:30,server_12,44.81
20:54:30,server_11,57.66
20:54:30,server_1,78.17
20:54:30,server_9,61.32
20:54:30,server_8,42.61
20:54:30,server_7,93.69
20:54:30,server_6,24.84
20:54:30,server_5,9.56
20:54:30,server_4,89.68
20:54:30,server_3,67.93
20:54:30,server_2,52.79
20:54:30,server_10,52.06
20:54:35,server_13,56.4
20:54:35,server_14,64.8
20:54:35,server_15,28.4
20:54:35,server_16,60.43
20:54:35,server_12,41.86
20:54:35,server_18,65.8
20:54:35,server_19,85.16
20:54:35,server_20,45.12
20:54:35,server_17,52.09
20:54:35,server_11,68.41
20:54:35,server_1,6.71
20:54:35,server_9,60.01
20:54:35,server_8,48.13
20:54:35,server_7,20.47
20:54:35,server_6,57.26
20:54:35,server_5,35.69
20:54:35,server_4,39.72
20:54:35,server_3,93.94
20:54:35,server_2,48.48
20:54:35,server_10,41.9
20:54:40,server_13,25.79
20:54:40,server_14,47.08
20:54:40,server_15,94.0
20:54:40,server_16,88.17
20:54:40,server_20,55.19
20:54:40,server_18,87.66
20:54:40,server_19,83.82
20:54:40,server_12,42.74
20:54:40,server_17,47.45
20:54:40,server_11,31.89
20:54:40,server_1,76.04
20:54:40,server_9,68.83
20:54:40,server_2,42.93
20:54:40,server_3,37.28
20:54:40,server_4,30.54
20:54:40,server_10,27.38
20:54:40,server_6,59.17
20:54:40,server_7,38.27
20:54:40,server_8,98.59
20:54:40,server_5,77.83
20:54:45,server_12,43.54
20:54:45,server_19,26.8
20:54:45,server_18,41.6
20:54:45,server_17,97.18
20:54:45,server_16,97.57
20:54:45,server_15,31.63
20:54:45,server_14,57.25
20:54:45,server_13,93.37
20:54:45,server_20,47.24
20:54:45,server_11,26.21
20:54:45,server_9,28.07
20:54:45,server_8,61.16
20:54:45,server_7,91.61
